id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Am Rong,Am,Rong,Khmer Rouge spokesman,politics,,United States,,,phonetic,4,Rong,His name sounds like wrong for a regime spokesman.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Angel Colon,Angel,Colon,gastroenterologist,medicine,,United States,,,semantic,5,Colon,His surname names the organ his specialty treats.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Bonnie Beaver,Bonnie,Beaver,gynecologist,medicine,,United States,,,semantic,4,Beaver,Slang beaver is a crude anatomical reference in gynecology context.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Randall Toothaker,Randall,Toothaker,dentist,medicine,,United States,,,wordplay,5,Toothaker,His surname describes extracting teeth.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Elizabeth Weatherhead,Elizabeth,Weatherhead,climatologist,weather,,United States,,,semantic,4,Weatherhead,Her surname combines weather with head of research.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Willie Thrower,Willie,Thrower,football quarterback,sports,,United States,,,semantic,4,Thrower,A quarterback throws the football.,,birth_name,https://en.wikipedia.org/wiki/Willie_Thrower,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Brian Baldinger,Brian,Baldinger,football defensive lineman,sports,,United States,,,semantic,3,Baldinger,Balding suggests a balding head; he played a head-knocking position.,,birth_name,https://en.wikipedia.org/wiki/Brian_Baldinger,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Quentin Jammer,Quentin,Jammer,football cornerback,sports,,United States,,,semantic,4,Jammer,"A jammer disrupts receivers, a cornerback's role.",,birth_name,https://en.wikipedia.org/wiki/Quentin_Jammer,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Laura Knott-Twine,Laura,Knott-Twine,textile museum founder,education,,United States,,,semantic,4,Knott-Twine,Her surname references thread used in Windham's textile history.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Ravi Tailor,Ravi,Tailor,master cutter,trades,,United States,,,direct,5,Tailor,His surname is the trade he practices on Savile Row.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Fred Karr,Fred,Karr,driver's education instructor,education,,United States,,,phonetic,4,Karr,His surname is a homophone of car.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Roger Printup,Roger,Printup,university registrar,education,,United States,,,semantic,3,Printup,Registrars print up official student records.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Adam Weiner,Adam,Weiner,urologist,medicine,,United States,,,semantic,4,Weiner,"Weiner is slang for penis, making his name an icebreaker in urology.",,birth_name,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Aerial Powers,Aerial,Powers,basketball player,sports,,United States,1994,,semantic,4,Aerial,"Aerial suggests flight, fitting a WNBA athlete.",,birth_name,https://en.wikipedia.org/wiki/Aerial_Powers,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Brad Hand,Brad,Hand,baseball pitcher,sports,,United States,1990,,semantic,4,Hand,A pitcher delivers the ball with his hand.,,birth_name,https://en.wikipedia.org/wiki/Brad_Hand,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Joséphine Bacon,Joséphine,Bacon,cookbook writer,food,,Canada,,,semantic,4,Bacon,Bacon is a staple food she writes cookbooks about.,,birth_name,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,probable
,Dustin Partridge,Dustin,Partridge,ornithologist,science,NYC Bird Alliance,United States,,,semantic,5,Partridge,His surname names a bird species he studies.,,birth_name,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,David Loud,David,Loud,Broadway conductor,arts,,United States,,,semantic,3,Loud,He feared reviews calling the aptly named David Loud too loud.,,birth_name,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Sarah Vowell,Sarah,Vowell,nonfiction writer,arts,,United States,1969,,phonetic,3,Vowell,"Her surname sounds like vowel, a unit of written language.",,birth_name,https://en.wikipedia.org/wiki/Sarah_Vowell,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Karin Slaughter,Karin,Slaughter,crime novelist,arts,,United States,1971,,semantic,4,Slaughter,Her surname names violence central to crime fiction.,,birth_name,https://en.wikipedia.org/wiki/Karin_Slaughter,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
,Arsène Wenger,Arsène,Wenger,football manager,sports,Arsenal,France,1949,,wordplay,5,Wenger,Arsene Wenger at Arsenal was widely called destiny by name.,,birth_name,https://en.wikipedia.org/wiki/Ars%C3%A8ne_Wenger,,https://www.nytimes.com/athletic/6524643/2025/08/04/football-names-clubs-managers-arsenal-wenger/,,verified
,James Trafford,James,Trafford,football goalkeeper,sports,Manchester City,England,2002,,semantic,4,Trafford,He joined Manchester City near Old Trafford.,,birth_name,https://en.wikipedia.org/wiki/James_Trafford,,https://www.nytimes.com/athletic/6524643/2025/08/04/football-names-clubs-managers-arsenal-wenger/,,verified
,David Møller Wolfe,David,Wolfe,footballer,sports,Wolverhampton Wanderers,Norway,2005,,semantic,5,Wolfe,"He signed for Wolves, matching his wolf-like surname.",,birth_name,https://en.wikipedia.org/wiki/David_M%C3%B8ller_Wolfe,,https://www.nytimes.com/athletic/6524643/2025/08/04/football-names-clubs-managers-arsenal-wenger/,,verified
,Graham Potter,Graham,Potter,football manager,sports,,England,1975,,semantic,3,Potter,"He once played for Stoke City, evoking pottery.",,birth_name,https://en.wikipedia.org/wiki/Graham_Potter,,https://www.nytimes.com/athletic/6524643/2025/08/04/football-names-clubs-managers-arsenal-wenger/,,verified
,Roger Kneebone,Roger,Kneebone,surgeon,medicine,Imperial College London,England,,,semantic,5,Kneebone,His surname names a joint surgeons operate on.,,birth_name,https://www.imperial.ac.uk/people/r.kneebone,,https://www.theguardian.com/lifeandstyle/2018/dec/15/hannah-jane-parkinson-names-inspire-choices-life,,verified
,Margaret Court,Margaret,Court,tennis player,sports,,Australia,1942,,semantic,4,Court,Her surname names the tennis court she dominated.,,birth_name,https://en.wikipedia.org/wiki/Margaret_Court,,https://www.theguardian.com/lifeandstyle/2018/dec/15/hannah-jane-parkinson-names-inspire-choices-life,,verified
,Mark Reckless,Mark,Reckless,politician,politics,,England,1970,,semantic,4,Reckless,His surname describes his rebellious political career.,,birth_name,https://en.wikipedia.org/wiki/Mark_Reckless,,https://www.theguardian.com/media/mind-your-language/2014/oct/31/mind-your-language-nominative-determinism,,verified
,Colin Bass,Colin,Bass,bassist,arts,Camel,England,,,semantic,4,Bass,His surname names the low guitar he plays.,,birth_name,https://en.wikipedia.org/wiki/Colin_Bass,,https://www.theguardian.com/media/mind-your-language/2014/oct/31/mind-your-language-nominative-determinism,,verified
,Charles Reade,Charles,Reade,novelist,arts,,England,1814,1884,semantic,4,Reade,"His surname is a homophone of read, what novelists enable.",,birth_name,https://en.wikipedia.org/wiki/Charles_Reade,,https://www.theguardian.com/media/mind-your-language/2014/oct/31/mind-your-language-nominative-determinism,,verified
,Duncan Gay,Duncan,Gay,transport minister,politics,,Australia,,,ironic,4,Gay,"As minister he removed Sydney's rainbow crossing, ironic with his surname.",,birth_name,https://www.theguardian.com/media/mind-your-language/2014/oct/31/mind-your-language-nominative-determinism,,https://www.theguardian.com/media/mind-your-language/2014/oct/31/mind-your-language-nominative-determinism,,probable
,Faith Popcorn,Faith,Popcorn,marketing consultant,business,,United States,,,semantic,4,Popcorn,Her surname names a snack marketed to consumers.,,birth_name,https://en.wikipedia.org/wiki/Faith_Popcorn,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,Shelby Goldgrab,Shelby,Goldgrab,tax accountant,business,,United States,,,wordplay,4,Goldgrab,"Her surname suggests grabbing gold, fitting a tax accountant.",,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,borderline
,Don Popadick,Don,Popadick,indecent exposure defendant,crime,,Canada,,,wordplay,5,Popadick,"His surname is slang for exposing oneself, matching his arrest.",,birth_name,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,verified
,Michael Pollan,Michael,Pollan,food writer,food,,United States,1955,,phonetic,3,Pollan,His surname sounds like pollen linked to food and agriculture writing.,,birth_name,https://en.wikipedia.org/wiki/Michael_Pollan,,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,verified
,Samantha Power,Samantha,Power,U.S. ambassador,politics,United Nations,United States,1970,,semantic,3,Power,Her surname names diplomatic power she wielded at the UN.,,birth_name,https://en.wikipedia.org/wiki/Samantha_Power,,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,verified
,Angel Means,Angel,Means,hospice director,medicine,Visiting Nurse Association,United States,,,wordplay,4,Means,Angel with means leads end-of-life hospice care.,,birth_name,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,probable
,Eric Hacker,Eric,Hacker,information security expert,science,Green Mountain Power,United States,,,semantic,4,Hacker,His surname names computer intruders he helps defend against.,,birth_name,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,https://www.sevendaysvt.com/arts-culture/aptronyms-2014-are-descriptive-monikers-coincidence-or-fate-2488690/,,probable
,Henry Head,Henry,Head,neurologist,medicine,,United States,,,semantic,4,Head,His surname names the body part neurologists study.,,birth_name,https://en.wikipedia.org/wiki/Henry_Head,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,verified
,Les Plack,Les,Plack,dentist,medicine,,United States,,,phonetic,4,Plack,Plaque is a dental term homophone of his name.,,birth_name,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,borderline
,Warren Burns,Warren,Burns,fire inspector,trades,,United States,,,semantic,5,Burns,His surname names what fires do.,,birth_name,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,borderline
,Joe Yawn,Joe,Yawn,sleep clinic manager,medicine,,United States,,,semantic,4,Yawn,Yawning is associated with sleep disorders he manages.,,birth_name,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,borderline
,Paul Looney,Paul,Looney,psychiatrist,medicine,,United States,,,semantic,3,Looney,Loony is slang for mental instability in psychiatry.,,birth_name,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,borderline
,Rev. Paradise,Rev.,Paradise,minister,religion,,United States,,,semantic,4,Paradise,Paradise is a religious destination.,,birth_name,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,https://www.chicagotribune.com/1995/05/07/a-field-day-with-aptly-named-workers/,,borderline
,Peter Pullum,Peter,Pullum,urologist,medicine,,England,,,semantic,3,Pullum,Dent cites Dr Pullum for testicular examinations.,,birth_name,https://pocketmags.com/eu/saga-magazine/jul-24/articles/word-to-the-wise,,https://pocketmags.com/eu/saga-magazine/jul-24/articles/word-to-the-wise,,borderline
,Peter Burns-Cox,Peter,Burns-Cox,urologist,medicine,,England,,,wordplay,4,Burns-Cox,Dent's favourite urologist example pairs burns with anatomical slang.,,birth_name,https://pocketmags.com/eu/saga-magazine/jul-24/articles/word-to-the-wise,,https://pocketmags.com/eu/saga-magazine/jul-24/articles/word-to-the-wise,,borderline
,Bob Flowerdew,Bob,Flowerdew,gardener,trades,,England,1952,,semantic,4,Flowerdew,His surname evokes flower dew in horticulture.,,birth_name,https://en.wikipedia.org/wiki/Bob_Flowerdew,,https://99percentinvisible.org/article/outerbridge-crossing-exploring-the-world-of-aptonyms-redundant-place-names/,,verified
,Philander Rodman,Philander,Rodman,Air Force serviceman,military,,United States,,,semantic,4,Philander,Philander means to have many casual affairs; he fathered 29 children.,,birth_name,https://en.wikipedia.org/wiki/Philander_Rodman,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Marilyn vos Savant,Marilyn,vos Savant,columnist,media,,United States,1946,,translation,4,Savant,Savant denotes exceptional intelligence; she held highest recorded IQ.,"French: savant, learned person",birth_name,https://en.wikipedia.org/wiki/Marilyn_vos_Savant,https://en.wiktionary.org/wiki/savant,https://en.wikipedia.org/wiki/Aptronym,,verified
,Corona Rintawan,Corona,Rintawan,physician,medicine,Muhammadiyah COVID-19 Command Center,Indonesia,,,semantic,5,Corona,He led Indonesia's COVID-19 response during the coronavirus pandemic.,,birth_name,https://en.wikipedia.org/wiki/Aptronym,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Katie Volynets,Katie,Volynets,tennis player,sports,,United States,2001,,phonetic,4,Volynets,Her surname sounds like volley nets in tennis.,,birth_name,https://en.wikipedia.org/wiki/Katie_Volynets,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Marc Webb,Marc,Webb,film director,arts,,United States,1970,,semantic,4,Webb,He directed The Amazing Spider-Man about a hero who uses webs.,,birth_name,https://en.wikipedia.org/wiki/Marc_Webb,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Keith Weed,Keith,Weed,horticulture society president,trades,Royal Horticultural Society,England,,,semantic,5,Weed,Weeds are central to gardening and horticulture.,,birth_name,https://en.wikipedia.org/wiki/Keith_Weed,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Emily Wines,Emily,Wines,sommelier,food,Court of Master Sommeliers,United States,,,semantic,5,Wines,Her surname names the beverages she judges professionally.,,birth_name,https://en.wikipedia.org/wiki/Aptronym,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Jeremy Wade,Jeremy,Wade,angler,sports,,England,1956,,semantic,4,Wade,To wade is to walk through water while fishing.,,birth_name,https://en.wikipedia.org/wiki/Jeremy_Wade,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Toby Savin,Toby,Savin,football goalkeeper,sports,,England,2000,,phonetic,4,Savin,Saving is the goalkeeper's primary duty.,,birth_name,https://en.wikipedia.org/wiki/Toby_Savin,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Sina Movahed,Sina,Movahed,chess grandmaster,sports,,Iran,2011,,phonetic,3,Movahed,His name sounds like seen a move ahead in chess.,,birth_name,https://en.wikipedia.org/wiki/Sina_Movahed,,https://en.wikipedia.org/wiki/Aptronym,,borderline
,Lloyd Mints,Lloyd,Mints,economist,science,,United States,1888,1979,semantic,4,Mints,He wrote on money supply; mints produce coinage.,,birth_name,https://en.wikipedia.org/wiki/Lloyd_W._Mints,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Rich Ricci,Rich,Ricci,banker,business,,United States,,,wordplay,4,Ricci,"His name reduplicates rich, fitting a Barclays investment banker.",,birth_name,https://en.wikipedia.org/wiki/Rich_Ricci,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Rich Fairbank,Rich,Fairbank,bank CEO,business,Capital One,United States,1950,,wordplay,4,Fairbank,He leads a bank and holds a surname suggesting fair banking.,,birth_name,https://en.wikipedia.org/wiki/Richard_Fairbank,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Cecil Fielder,Cecil,Fielder,baseball first baseman,sports,,United States,1963,,semantic,4,Fielder,A fielder is a defensive baseball player.,,birth_name,https://en.wikipedia.org/wiki/Cecil_Fielder,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Prince Fielder,Prince,Fielder,baseball first baseman,sports,,United States,1984,,semantic,4,Fielder,A fielder is a defensive baseball player like his father Cecil.,,birth_name,https://en.wikipedia.org/wiki/Prince_Fielder,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Jeff Float,Jeff,Float,swimmer,sports,,United States,1964,,semantic,4,Float,Floating is essential to swimming.,,birth_name,https://en.wikipedia.org/wiki/Jeff_Float,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Early Wynn,Early,Wynn,baseball pitcher,sports,,United States,1920,1999,phonetic,4,Wynn,Win is what pitchers strive for; he won 300 games.,,birth_name,https://en.wikipedia.org/wiki/Early_Wynn,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Zoltan Ovary,Zoltan,Ovary,immunologist,medicine,,United States,1907,2005,semantic,1,Ovary,Madden suggested gynecologist; he was an immunologist.,,birth_name,https://en.wikipedia.org/wiki/Zoltan_Ovary,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,Rejected aptronym: Slate corrected Madden error; not a gynecologist.,rejected
